Provinsi,Jumlah Kasus Penyakit - Angka Penemuan TBC,Jumlah Kasus Penyakit - Angka Keberhasilan Pengobatan TBC,Jumlah Kasus Penyakit - HIV/AIDS Kasus Baru,Jumlah Kasus Penyakit - Penemuan Kasus Baru Kusta per 100.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan Malaria per 1.000 Penduduk,Jumlah Kasus Penyakit - Angka Kesakitan DBD per 100.000 Penduduk
Aceh,68,81,338,4.32,0.06,37.08
Sumatera Utara,74,79,3041,–,0.37,27.91
Sumatera Barat,62,86,578,1.11,0.02,41.63
Riau,72,86,1031,1.69,0.44,54.07
Jambi,65,86,326,1.63,0.02,37.87
Sumatera Selatan,63,89,927,3,–,45.57
Bengkulu,48,76,197,1.55,–,41.35
Lampung,65,92,1134,1.89,0.2,69.21
Kepulauan Bangka Belitung,63,85,282,3.5,0.01,104.72
Kepulauan Riau,50,82,867,1.79,0.25,91.31
DKI Jakarta,86,78,4353,4.44,0.05,95.17
Jawa Barat,97,86,9212,–,0.02,88.17
Jawa Tengah,84,86,6057,4.01,0.02,27.81
DI Yogyakarta,75,85,944,0.76,0.04,53.31
Jawa Timur,77,88,10612,5.14,0.02,49.29
Banten,112,91,2289,7.06,0.01,56.14
Bali,83,81,2024,3.01,0.01,232.87
Nusa Tenggara Barat,60,87,674,5.29,0.02,63.58
Nusa Tenggara Timur,62,85,1249,7.75,0.75,37.28
Kalimantan Barat,75,86,1113,–,0.01,36.4
Kalimantan Tengah,77,77,485,–,0.12,40.84
Kalimantan Selatan,77,78,662,3.02,0.05,13.65
Kalimantan Timur,52,83,1294,2.76,0.24,144.77
Kalimantan Utara,64,69,208,6.14,0.08,35.5
Sulawesi Utara,67,82,812,15.11,0.37,57.95
Sulawesi Tengah,84,80,732,8.65,0.41,35.61
Sulawesi Selatan,65,84,1954,8.27,0.21,45.81
Sulawesi Tenggara,72,81,600,6.69,0.23,41.03
Gorontalo,77,88,235,16.58,1.89,54.5
Sulawesi Barat,80,87,130,13.26,0.07,77.62
Maluku,63,85,734,23.02,1.67,8.07
Maluku Utara,80,75,675,56.48,0.22,22.49
Papua Barat,88,73,1099,64.97,18.63,3.4
Papua Barat Daya,82,67,529,86.89,11.53,–
Papua,58,75,2997,–,269.44,2.14
Papua Selatan,81,80,295,26.54,146.93,25.65
Papua Tengah,72,77,2057,9.88,133.67,9.34
Papua Pegunungan,41,56,551,–,36.42,–
Indonesia,79,85,63297,7.22,2.47,57.02
,,,,,,
Catatan,,,,,,
Kondisi data TBC tahun 2025 update per 8 Februari 2026/ TBC data of 2025 updates as of 8 February 2026 ,,,,,,
Kondisi data AIDS tahun 2025 update per 20 Januari 2026/ AIDS data of 2025 updates as of 20 January 2026 ,,,,,,
Kondisi data kusta tahun 2025 update per 8 Februari 2026/ Leprocy data of 2025 updates as of 8 February 2026 ,,,,,,
Kondisi data malaria tahun 2025 update per 8 Februari 2026/ Malaria data of 2025 updates as of 8 February 2026 ,,,,,,
Kondisi data DBD tahun 2025 per 8 Februari 2026/ Dengue Fever data of 2025 updates as of  8 February 2026 ,,,,,,
